Date,Quarter ,GDP Growth,HICP (CPI),Core HICP,Unemployment,Consensus Forecasts,,GDP,HICP,Core HICP,Unemployment,,,,,,,,,,,,
3/31/06,2006Q1,0.9,2.3,1.2,8.9,,,1.96,1.86,,8.62,,,,,,,,,,,,
6/30/06,2006Q2,1.1,2.5,1.4,8.6,,,1.96,1.86,,8.62,,,,,,,,,,,,
9/30/06,2006Q3,0.5,2.2,1.5,8.4,,,1.96,1.86,,8.62,,,,,,,,,,,,
12/31/06,2006Q4,1.2,1.8,1.5,8.2,,,1.96,1.86,,8.62,,,,,,,,,,,,
3/31/07,2007Q1,0.7,1.9,1.8,7.9,,,2.15,1.81,,7.88,,,,,,,,,,,,
6/30/07,2007Q2,0.7,1.9,1.9,7.7,,,2.15,1.81,,7.88,,,,,,,,,,,,
9/30/07,2007Q3,0.4,1.9,1.9,7.6,,,2.15,1.81,,7.88,,,,,,,,,,,,
12/31/07,2007Q4,0.5,2.9,1.9,7.4,,,2.15,1.81,,7.88,,,,,,,,,,,,
3/31/08,2008Q1,0.6,3.4,1.8,7.3,,,1.84,1.88,,6.94,,,,,,,,,,,,
6/30/08,2008Q2,-0.5,3.7,1.7,7.5,,,1.84,1.88,,6.94,,,,,,,,,,,,
9/30/08,2008Q3,-0.5,3.9,1.8,7.6,,,1.84,1.88,,6.94,,,,,,,,,,,,
12/31/08,2008Q4,-1.7,2.3,1.9,8,,,1.84,1.88,,6.94,,,,,,,,,,,,
3/31/09,2009Q1,-3.1,1,1.6,9,,,-1.71,1.95,,7.12,,,,,,,,,,,,
6/30/09,2009Q2,0,0.2,1.6,9.6,,,-1.71,1.95,,7.12,,,,,,,,,,,,
9/30/09,2009Q3,0.4,-0.4,1.3,9.9,,,-1.71,1.95,,7.12,,,,,,,,,,,,
12/31/09,2009Q4,0.4,0.4,1.1,10.1,,,-1.71,1.95,,7.12,,,,,,,,,,,,
3/31/10,2010Q1,0.4,1.1,0.9,10.3,,,1.19,2,,10.47,,,,,,,,,,,,
6/30/10,2010Q2,0.9,1.6,0.9,10.4,,,1.19,2,,10.47,,,,,,,,,,,,
9/30/10,2010Q3,0.4,1.7,1.1,10.3,,,1.19,2,,10.47,,,,,,,,,,,,
12/31/10,2010Q4,0.6,2,1.1,10.3,,,1.19,2,,10.47,,,,,,,,,,,,
3/31/11,2011Q1,1,2.5,1.1,10.2,,,1.6,1.57,,10.28,,,,,,,,,,,,
6/30/11,2011Q2,0,2.7,1.5,10.1,,,1.6,1.57,,10.28,,,,,,,,,,,,
9/30/11,2011Q3,0,2.7,1.3,10.4,,,1.6,1.57,,10.28,,,,,,,,,,,,
12/31/11,2011Q4,-0.3,2.9,1.6,10.8,,,1.6,1.57,,10.28,,,,,,,,,,,,
3/31/12,2012Q1,-0.2,2.7,1.5,11.1,,,-0.08,1.61,,9.46,,,,,,,,,,,,
6/30/12,2012Q2,-0.4,2.5,1.6,11.4,,,-0.08,1.61,,9.46,,,,,,,,,,,,
9/30/12,2012Q3,-0.1,2.5,1.6,11.6,,,-0.08,1.61,,9.46,,,,,,,,,,,,
12/31/12,2012Q4,-0.4,2.3,1.5,12,,,-0.08,1.61,,9.46,,,,,,,,,,,,
3/31/13,2013Q1,-0.3,1.9,1.4,12.3,,,-0.04,1.84,,10.92,,,,,,,,,,,,
6/30/13,2013Q2,0.7,1.4,1.1,12.3,,,-0.04,1.84,,10.92,,,,,,,,,,,,
9/30/13,2013Q3,0.3,1.3,1.1,12.2,,,-0.04,1.84,,10.92,,,,,,,,,,,,
12/31/13,2013Q4,0.2,0.8,0.8,12.1,,,-0.04,1.84,,10.92,,,,,,,,,,,,
3/31/14,2014Q1,0.5,0.7,0.8,12,,,1.02,1.88,,12.23,,,,,,,,,,,,
6/30/14,2014Q2,0.2,0.6,0.8,11.7,,,1.02,1.88,,12.23,,,,,,,,,,,,
9/30/14,2014Q3,0.5,0.4,0.8,11.6,,,1.02,1.88,,12.23,,,,,,,,,,,,
12/31/14,2014Q4,0.4,0.2,0.7,11.6,,,1.02,1.88,,12.23,,,,,,,,,,,,
3/31/15,2015Q1,0.8,-0.3,0.6,11.3,,,1.09,1.63,,11.49,,,,,,,,,,,,
6/30/15,2015Q2,0.4,0.4,1.1,11.1,,,1.09,1.63,,11.49,,,,,,,,,,,,
9/30/15,2015Q3,0.4,0.4,1.4,10.7,,,1.09,1.63,,11.49,,,,,,,,,,,,
12/31/15,2015Q4,0.5,0.2,1.1,10.6,,,1.09,1.63,,11.49,,,,,,,,,,,,
3/31/16,2016Q1,0.5,0.1,1,10.4,,,1.68,1.35,,10.59,,,,,,,,,,,,
6/30/16,2016Q2,0.2,-0.1,0.8,10.2,,,1.68,1.35,,10.59,,,,,,,,,,,,
9/30/16,2016Q3,0.5,0.3,0.8,9.9,,,1.68,1.35,,10.59,,,,,,,,,,,,
12/31/16,2016Q4,0.8,0.7,0.8,9.8,,,1.68,1.35,0.9,10.59,,,,,,,,,,,,
3/31/17,2017Q1,0.8,1.7,0.8,9.5,,,1.54,1.53,1.1,9.7,,,,,,,,,,,,
6/30/17,2017Q2,0.7,1.5,1.1,9.2,,,1.54,1.53,1,9.7,,,,,,,,,,,,
9/30/17,2017Q3,0.7,1.5,1.2,9,,,1.54,1.53,1.1,9.7,,,,,,,,,,,,
12/31/17,2017Q4,0.8,1.4,0.9,8.7,,,1.54,1.53,1.1,9.7,,,,,,,,,,,,
3/31/18,2018Q1,0,1.3,1,8.6,,,2.26,1.45,1.2,9.05,,,,,,,,,,,,
6/30/18,2018Q2,0.5,1.7,1,8.3,,,2.26,1.45,1.2,9.05,,,,,,,,,,,,
9/30/18,2018Q3,0.1,2.1,1,8,,,2.26,1.45,1.2,9.05,,,,,,,,,,,,
12/31/18,2018Q4,0.5,1.9,1,7.9,,,2.26,1.45,1.1.,9.05,,,,,,,,,,,,
3/31/19,2019Q1,0.7,1.4,1,7.8,,,1.53,1.63,1.3,7.86,,,,,,,,,,,,
6/30/19,2019Q2,0.4,1.4,1.1,7.6,,,1.53,1.63,1.2,7.86,,,,,,,,,,,,
9/30/19,2019Q3,0.2,0.9,0.9,7.4,,,1.53,1.63,1.1,7.86,,,,,,,,,,,,
12/31/19,2019Q4,-0.1,1,1.2,7.4,,,1.53,1.63,1.1.,7.86,,,,,,,,,,,,
3/31/20,2020Q1,-3.2,1.1,1.1,7.3,,,1.05,1.74,1.2,7.58,,,,,,,,,,,,
6/30/20,2020Q2,-11.1,0.2,0.9,7.7,,,1.05,1.74,0.8,7.58,,,,,,,,,,,,
9/30/20,2020Q3,11.5,0,0.6,8.5,,,1.05,1.74,0.8,7.58,,,,,,,,,,,,
12/31/20,2020Q4,0.4,-0.3,0.2,8.3,,,1.05,1.74,0.7,7.58,,,,,,,,,,,,
3/31/21,2021Q1,0.8,1,1.1,8.2,,,4.37,1.43,0.8,8.87,,,,,,,,,,,,
6/30/21,2021Q2,2.2,1.8,0.8,8.1,,,4.37,1.43,1.1,8.87,,,,,,,,,,,,
9/30/21,2021Q3,1.8,2.9,1.4,7.5,,,4.37,1.43,1.2,8.87,,,,,,,,,,,,
12/31/21,2021Q4,0.8,4.7,2.4,7.1,,,4.37,1.43,1.4,8.87,,,,,,,,,,,,
3/31/22,2022Q1,0.7,6.1,2.7,6.8,,,4.19,1.26,2,8.07,,,,,,,,,,,,
6/30/22,2022Q2,0.9,8.1,3.7,6.7,,,4.19,1.26,2.9,8.07,,,,,,,,,,,,
9/30/22,2022Q3,0.5,9.3,4.3,6.7,,,4.19,1.26,3.6,8.07,,,,,,,,,,,,
12/31/22,2022Q4,-0.1,10,5.1,6.7,,,4.19,1.26,4,8.07,,,,,,,,,,,,
3/31/23,2023Q1,0,8,5.5,6.6,,,0.21,1.66,4.4,6.82,,,,,,,,,,,,
6/30/23,2023Q2,0.2,6.2,5.5,6.5,,,0.21,1.66,4.9,6.82,,,,,,,,,,,,
9/30/23,2023Q3,0,4.9,5.1,6.6,,,0.21,1.66,5.1,6.82,,,,,,,,,,,,
12/31/23,2023Q4,0.1,2.7,3.7,6.5,,,0.21,1.66,5.1,6.82,,,,,,,,,,,,
3/31/24,2024Q1,0.3,2.6,3.1,6.5,,,0.6,2.44,2.6,6.84,,,,,,,,,,,,
6/30/24,2024Q2,0.2,2.5,2.8,6.4,,,0.6,2.44,2.6,6.84,,,,,,,,,,,,
9/30/24,2024Q3,0.4,2.2,2.8,6.3,,,0.6,2.44,2.7,6.84,,,,,,,,,,,,
12/31/24,2024Q4,0.4,2.2,2.7,6.2,,,0.6,2.44,2.8,6.84,,,,,,,,,,,,
3/31/25,2025Q1,0.6,2.3,2.6,6.3,,,1.01,2.11,2.2,6.56,,,,,,,,,,,,
6/30/25,2025Q2,0.1,2,2.4,6.3,,,1.01,2.11,2.3,6.56,,,,,,,,,,,,
9/30/25,2025Q3,0.3,2.1,2.3,6.3,,,1.01,2.11,2.3,6.56,,,,,,,,,,,,
12/31/25,2025Q4,0.2,2.1,2.4,6.3,,,1.01,2.11,2.4,6.56,,,,,,,,,,,,
,,,2,2.3,6.2,,,1.2,1.93,2,6.35,,,,,,,,,,,,
,,,,,,,,1.2,1.93,,6.35,,,,,,,,,,,,
,,,,,,,,1.2,1.93,,6.35,,,,,,,,,,,,
,,,,,,,,1.2,1.93,,6.35,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,,,,,,,