Date,Quarter ,GDP Growth,HICP (CPI),Core HICP,Unemployment,Unnamed: 6,Consensus Forecasts,Unnamed: 8,Unnamed: 9,GDP,HICP,Core HICP.1,Unemployment.1
2006-03-31,2006Q1,0.9,2.3,1.2,8.9,,,,,1.96,1.86,,8.62
2006-06-30,2006Q2,1.1,2.5,1.4,8.6,,,,,1.96,1.86,,8.62
2006-09-30,2006Q3,0.5,2.2,1.5,8.4,,,,,1.96,1.86,,8.62
2006-12-31,2006Q4,1.2,1.8,1.5,8.2,,,,,1.96,1.86,,8.62
2007-03-31,2007Q1,0.7,1.9,1.8,7.9,,,,,2.15,1.81,,7.88
2007-06-30,2007Q2,0.7,1.9,1.9,7.7,,,,,2.15,1.81,,7.88
2007-09-30,2007Q3,0.4,1.9,1.9,7.6,,,,,2.15,1.81,,7.88
2007-12-31,2007Q4,0.5,2.9,1.9,7.4,,,,,2.15,1.81,,7.88
2008-03-31,2008Q1,0.6,3.4,1.8,7.3,,,,,1.84,1.88,,6.94
2008-06-30,2008Q2,-0.5,3.7,1.7,7.5,,,,,1.84,1.88,,6.94
2008-09-30,2008Q3,-0.5,3.9,1.8,7.6,,,,,1.84,1.88,,6.94
2008-12-31,2008Q4,-1.7,2.3,1.9,8.0,,,,,1.84,1.88,,6.94
2009-03-31,2009Q1,-3.1,1.0,1.6,9.0,,,,,-1.71,1.95,,7.12
2009-06-30,2009Q2,0.0,0.2,1.6,9.6,,,,,-1.71,1.95,,7.12
2009-09-30,2009Q3,0.4,-0.4,1.3,9.9,,,,,-1.71,1.95,,7.12
2009-12-31,2009Q4,0.4,0.4,1.1,10.1,,,,,-1.71,1.95,,7.12
2010-03-31,2010Q1,0.4,1.1,0.9,10.3,,,,,1.19,2.0,,10.47
2010-06-30,2010Q2,0.9,1.6,0.9,10.4,,,,,1.19,2.0,,10.47
2010-09-30,2010Q3,0.4,1.7,1.1,10.3,,,,,1.19,2.0,,10.47
2010-12-31,2010Q4,0.6,2.0,1.1,10.3,,,,,1.19,2.0,,10.47
2011-03-31,2011Q1,1.0,2.5,1.1,10.2,,,,,1.6,1.57,,10.28
2011-06-30,2011Q2,0.0,2.7,1.5,10.1,,,,,1.6,1.57,,10.28
2011-09-30,2011Q3,0.0,2.7,1.3,10.4,,,,,1.6,1.57,,10.28
2011-12-31,2011Q4,-0.3,2.9,1.6,10.8,,,,,1.6,1.57,,10.28
2012-03-31,2012Q1,-0.2,2.7,1.5,11.1,,,,,-0.08,1.61,,9.46
2012-06-30,2012Q2,-0.4,2.5,1.6,11.4,,,,,-0.08,1.61,,9.46
2012-09-30,2012Q3,-0.1,2.5,1.6,11.6,,,,,-0.08,1.61,,9.46
2012-12-31,2012Q4,-0.4,2.3,1.5,12.0,,,,,-0.08,1.61,,9.46
2013-03-31,2013Q1,-0.3,1.9,1.4,12.3,,,,,-0.04,1.84,,10.92
2013-06-30,2013Q2,0.7,1.4,1.1,12.3,,,,,-0.04,1.84,,10.92
2013-09-30,2013Q3,0.3,1.3,1.1,12.2,,,,,-0.04,1.84,,10.92
2013-12-31,2013Q4,0.2,0.8,0.8,12.1,,,,,-0.04,1.84,,10.92
2014-03-31,2014Q1,0.5,0.7,0.8,12.0,,,,,1.02,1.88,,12.23
2014-06-30,2014Q2,0.2,0.6,0.8,11.7,,,,,1.02,1.88,,12.23
2014-09-30,2014Q3,0.5,0.4,0.8,11.6,,,,,1.02,1.88,,12.23
2014-12-31,2014Q4,0.4,0.2,0.7,11.6,,,,,1.02,1.88,,12.23
2015-03-31,2015Q1,0.8,-0.3,0.6,11.3,,,,,1.09,1.63,,11.49
2015-06-30,2015Q2,0.4,0.4,1.1,11.1,,,,,1.09,1.63,,11.49
2015-09-30,2015Q3,0.4,0.4,1.4,10.7,,,,,1.09,1.63,,11.49
2015-12-31,2015Q4,0.5,0.2,1.1,10.6,,,,,1.09,1.63,,11.49
2016-03-31,2016Q1,0.5,0.1,1.0,10.4,,,,,1.68,1.35,,10.59
2016-06-30,2016Q2,0.2,-0.1,0.8,10.2,,,,,1.68,1.35,,10.59
2016-09-30,2016Q3,0.5,0.3,0.8,9.9,,,,,1.68,1.35,,10.59
2016-12-31,2016Q4,0.8,0.7,0.8,9.8,,,,,1.68,1.35,0.9,10.59
2017-03-31,2017Q1,0.8,1.7,0.8,9.5,,,,,1.54,1.53,1.1,9.7
2017-06-30,2017Q2,0.7,1.5,1.1,9.2,,,,,1.54,1.53,1,9.7
2017-09-30,2017Q3,0.7,1.5,1.2,9.0,,,,,1.54,1.53,1.1,9.7
2017-12-31,2017Q4,0.8,1.4,0.9,8.7,,,,,1.54,1.53,1.1,9.7
2018-03-31,2018Q1,0.0,1.3,1.0,8.6,,,,,2.26,1.45,1.2,9.05
2018-06-30,2018Q2,0.5,1.7,1.0,8.3,,,,,2.26,1.45,1.2,9.05
2018-09-30,2018Q3,0.1,2.1,1.0,8.0,,,,,2.26,1.45,1.2,9.05
2018-12-31,2018Q4,0.5,1.9,1.0,7.9,,,,,2.26,1.45,1.1.,9.05
2019-03-31,2019Q1,0.7,1.4,1.0,7.8,,,,,1.53,1.63,1.3,7.86
2019-06-30,2019Q2,0.4,1.4,1.1,7.6,,,,,1.53,1.63,1.2,7.86
2019-09-30,2019Q3,0.2,0.9,0.9,7.4,,,,,1.53,1.63,1.1,7.86
2019-12-31,2019Q4,-0.1,1.0,1.2,7.4,,,,,1.53,1.63,1.1.,7.86
2020-03-31,2020Q1,-3.2,1.1,1.1,7.3,,,,,1.05,1.74,1.2,7.58
2020-06-30,2020Q2,-11.1,0.2,0.9,7.7,,,,,1.05,1.74,0.8,7.58
2020-09-30,2020Q3,11.5,0.0,0.6,8.5,,,,,1.05,1.74,0.8,7.58
2020-12-31,2020Q4,0.4,-0.3,0.2,8.3,,,,,1.05,1.74,0.7,7.58
2021-03-31,2021Q1,0.8,1.0,1.1,8.2,,,,,4.37,1.43,0.8,8.87
2021-06-30,2021Q2,2.2,1.8,0.8,8.1,,,,,4.37,1.43,1.1,8.87
2021-09-30,2021Q3,1.8,2.9,1.4,7.5,,,,,4.37,1.43,1.2,8.87
2021-12-31,2021Q4,0.8,4.7,2.4,7.1,,,,,4.37,1.43,1.4,8.87
2022-03-31,2022Q1,0.7,6.1,2.7,6.8,,,,,4.19,1.26,2,8.07
2022-06-30,2022Q2,0.9,8.1,3.7,6.7,,,,,4.19,1.26,2.9,8.07
2022-09-30,2022Q3,0.5,9.3,4.3,6.7,,,,,4.19,1.26,3.6,8.07
2022-12-31,2022Q4,-0.1,10.0,5.1,6.7,,,,,4.19,1.26,4,8.07
2023-03-31,2023Q1,0.0,8.0,5.5,6.6,,,,,0.21,1.66,4.4,6.82
2023-06-30,2023Q2,0.2,6.2,5.5,6.5,,,,,0.21,1.66,4.9,6.82
2023-09-30,2023Q3,0.0,4.9,5.1,6.6,,,,,0.21,1.66,5.1,6.82
2023-12-31,2023Q4,0.1,2.7,3.7,6.5,,,,,0.21,1.66,5.1,6.82
2024-03-31,2024Q1,0.3,2.6,3.1,6.5,,,,,0.6,2.44,2.6,6.84
2024-06-30,2024Q2,0.2,2.5,2.8,6.4,,,,,0.6,2.44,2.6,6.84
2024-09-30,2024Q3,0.4,2.2,2.8,6.3,,,,,0.6,2.44,2.7,6.84
2024-12-31,2024Q4,0.4,2.2,2.7,6.2,,,,,0.6,2.44,2.8,6.84
2025-03-31,2025Q1,0.6,2.3,2.6,6.3,,,,,1.01,2.11,2.2,6.56
2025-06-30,2025Q2,0.1,2.0,2.4,6.3,,,,,1.01,2.11,2.3,6.56
2025-09-30,2025Q3,0.3,2.1,2.3,6.3,,,,,1.01,2.11,2.3,6.56
2025-12-31,2025Q4,0.2,2.1,2.4,6.3,,,,,1.01,2.11,2.4,6.56
,,,2.0,2.3,6.2,,,,,1.2,1.93,2,6.35
,,,,,,,,,,1.2,1.93,,6.35
,,,,,,,,,,1.2,1.93,,6.35
,,,,,,,,,,1.2,1.93,,6.35
,,,,,,,,,,,2.0,,
,,,,,,,,,,,2.0,,
,,,,,,,,,,,2.0,,
,,,,,,,,,,,2.0,,
